"Entity label","Entity type","RDF type"
"AL label@en","TYPE","TYPE"
"protists.heterotrophs","individual","protists.heterotrophs"
"protists.phagotrophs","individual","protists.phagotrophs"
"protists.testate_amoebae","individual","protists.testate_amoebae"
"protists.zooparasites","individual","protists.zooparasites"
"protists.plant_pathogens","individual","protists.plant_pathogens"
"Nematoda.all","individual","Nematoda.all"
"Nematoda.herbivores","individual","Nematoda.herbivores"
"Nematoda.bacterivores","individual","Nematoda.bacterivores"
"Nematoda.fungivores","individual","Nematoda.fungivores"
"Nematoda.omnivores","individual","Nematoda.omnivores"
"Nematoda.predators","individual","Nematoda.predators"
"Nematoda.zooparasites","individual","Nematoda.zooparasites"
"Rotifera.all","individual","Rotifera.all"
"Rotifera.bacterivores","individual","Rotifera.bacterivores"
"Rotifera.predators","individual","Rotifera.predators"
"Tardigrada.all","individual","Tardigrada.all"
"Tardigrada.herbivores_fungivores_bacterivores","individual","Tardigrada.herbivores_fungivores_bacterivores"
"Tardigrada.omnivores_predators","individual","Tardigrada.omnivores_predators"
"Oribatida.all","individual","Oribatida.all"
"Oribatida.herbivores_lichen_feeders","individual","Oribatida.herbivores_lichen_feeders"
"Oribatida.detritivores","individual","Oribatida.detritivores"
"Oribatida.microbivores","individual","Oribatida.microbivores"
"Oribatida.predators_scavengers","individual","Oribatida.predators_scavengers"
"Mesostigmata.all","individual","Mesostigmata.all"
"Astigmata.all","individual","Astigmata.all"
"Prostigmata.all","individual","Prostigmata.all"
"Acari.all","individual","Acari.all"
"Pseudoscorpiones.all","individual","Pseudoscorpiones.all"
"Symphyla.all","individual","Symphyla.all"
"Pauropoda.all","individual","Pauropoda.all"
"Diplura.all","individual","Diplura.all"
"Diplura.detritivores","individual","Diplura.detritivores"
"Diplura.predators","individual","Diplura.predators"
"Protura.all","individual","Protura.all"
"Collembola.all","individual","Collembola.all"
"Collembola.algivores","individual","Collembola.algivores"
"Collembola.detritivores","individual","Collembola.detritivores"
"Collembola.Neanuridae","individual","Collembola.Neanuridae"
"Collembola.Onychiuridae","individual","Collembola.Onychiuridae"
"Araneae.all","individual","Araneae.all"
"Araneae.small","individual","Araneae.small"
"Araneae.small.wanderers","individual","Araneae.small.wanderers"
"Araneae.small.weavers","individual","Araneae.small.weavers"
"Araneae.large","individual","Araneae.large"
"Araneae.large.wanderers","individual","Araneae.large.wanderers"
"Araneae.large.weavers","individual","Araneae.large.weavers"
"Opiliones.all","individual","Opiliones.all"
"Diplopoda.all","individual","Diplopoda.all"
"Diplopoda.small","individual","Diplopoda.small"
"Diplopoda.algivores","individual","Diplopoda.algivores"
"Diplopoda.litter_dwellers","individual","Diplopoda.litter_dwellers"
"Diplopoda.fungivores","individual","Diplopoda.fungivores"
"Diplopoda.omnivores","individual","Diplopoda.omnivores"
"Diplopoda.humiphages","individual","Diplopoda.humiphages"
"Diplopoda.xylophiles","individual","Diplopoda.xylophiles"
"Chilopoda.all","individual","Chilopoda.all"
"Chilopoda.Geophilomorpha","individual","Chilopoda.Geophilomorpha"
"Chilopoda.Scolopendromorpha","individual","Chilopoda.Scolopendromorpha"
"Chilopoda.Lithobiomorpha","individual","Chilopoda.Lithobiomorpha"
"Chilopoda.Scutigeromorpha","individual","Chilopoda.Scutigeromorpha"
"Isopoda.all","individual","Isopoda.all"
"Dermaptera.all","individual","Dermaptera.all"
"Orthoptera.all","individual","Orthoptera.all"
"Orthoptera.Ensifera","individual","Orthoptera.Ensifera"
"Orthoptera.Ensifera.omnivores","individual","Orthoptera.Ensifera.omnivores"
"Orthoptera.Ensifera.predators","individual","Orthoptera.Ensifera.predators"
"Orthoptera.Ensifera.burrowers","individual","Orthoptera.Ensifera.burrowers"
"Orthoptera.Caelifera","individual","Orthoptera.Caelifera"
"Embioptera.all","individual","Embioptera.all"
"Blattodea.all","individual","Blattodea.all"
"Termitoidae.all","individual","Termitoidae.all"
"Termitoidae.xylophages","individual","Termitoidae.xylophages"
"Termitoidae.lichen_feeders","individual","Termitoidae.lichen_feeders"
"Termitoidae.litter_feeders","individual","Termitoidae.litter_feeders"
"Termitoidae.upper_soil_feeders","individual","Termitoidae.upper_soil_feeders"
"Termitoidae.true_soil_feeders","individual","Termitoidae.true_soil_feeders"
"Thysanoptera.all","individual","Thysanoptera.all"
"Thysanoptera.fungivores","individual","Thysanoptera.fungivores"
"Thysanoptera.herbivores","individual","Thysanoptera.herbivores"
"Hemiptera.all","individual","Hemiptera.all"
"Hemiptera.Auchenorrhyncha","individual","Hemiptera.Auchenorrhyncha"
"Hemiptera.Sternorrhyncha","individual","Hemiptera.Sternorrhyncha"
"Hemiptera.Heteroptera.herbivores","individual","Hemiptera.Heteroptera.herbivores"
"Hemiptera.Heteroptera.predators","individual","Hemiptera.Heteroptera.predators"
"Psocoptera.all","individual","Psocoptera.all"
"Formicidae.all","individual","Formicidae.all"
"Formicidae.omnivores","individual","Formicidae.omnivores"
"Formicidae.predators_scavengers","individual","Formicidae.predators_scavengers"
